Date/Time,Open,High,Low,Difference %
2024.05.16,154.862,155.532,153.598,1.25
2024.05.15,156.403,156.560,154.690,1.20
2024.05.14,156.195,156.783,156.088,0.44
2024.05.13,155.629,156.247,155.502,0.48
2024.05.10,155.434,155.903,155.264,0.41
2024.05.09,155.467,155.951,155.152,0.51
2024.05.08,154.669,155.683,154.496,0.77
2024.05.07,153.886,154.746,153.843,0.59
2024.05.06,152.886,154.005,152.764,0.81
2024.05.03,153.538,153.767,151.857,1.24
2024.05.02,154.500,156.283,153.056,2.09
2024.05.01,157.782,157.985,152.989,3.17
2024.04.30,156.322,157.842,156.057,1.14
2024.04.29,157.806,160.203,154.523,3.60
2024.04.26,155.635,158.439,154.965,2.23
2024.04.25,155.330,155.747,155.195,0.36
2024.04.24,154.820,155.372,154.729,0.42
2024.04.23,154.830,154.875,154.550,0.21
2024.04.22,154.547,154.848,154.387,0.30
2024.04.19,154.628,154.672,153.586,0.70
2024.04.18,154.365,154.679,153.956,0.47
2024.04.17,154.690,154.733,154.157,0.37
2024.04.16,154.260,154.784,153.898,0.57
2024.04.15,153.034,154.445,152.966,0.97
2024.04.12,153.247,153.383,152.590,0.52
2024.04.11,153.144,153.318,152.759,0.37
2024.04.10,151.727,153.238,151.680,1.03
2024.04.09,151.772,151.935,151.568,0.24
2024.04.08,151.569,151.941,151.540,0.26
2024.04.05,151.326,151.750,150.810,0.62
2024.04.04,151.677,151.770,151.119,0.43
2024.04.03,151.539,151.953,151.439,0.34
2024.04.02,151.631,151.801,151.461,0.22
2024.04.01,151.246,151.771,151.219,0.36
2024.03.29,151.375,151.496,151.167,0.22
2024.03.28,151.310,151.544,151.149,0.26
2024.03.27,151.550,151.970,151.025,0.62
2024.03.26,151.402,151.602,151.206,0.26
2024.03.25,151.305,151.544,151.052,0.33
2024.03.22,151.601,151.862,151.003,0.57
2024.03.21,151.243,151.752,150.263,0.98
2024.03.20,150.848,151.816,150.715,0.73
2024.03.19,149.140,150.962,149.001,1.31
2024.03.18,148.944,149.328,148.907,0.28
2024.03.15,148.312,149.163,148.030,0.76
2024.03.14,147.747,148.355,147.430,0.63
2024.03.13,147.636,148.045,147.232,0.55
2024.03.12,146.932,148.161,146.619,1.05
2024.03.11,146.915,147.144,146.483,0.45
2024.03.08,148.037,148.117,146.481,1.11
2024.03.07,149.349,149.364,147.582,1.19
2024.03.06,150.033,150.084,149.094,0.66
2024.03.05,150.518,150.545,149.701,0.56
2024.03.04,149.944,150.568,149.837,0.49
2024.03.01,149.963,150.720,149.909,0.54
2024.02.29,150.679,150.679,149.208,0.98
2024.02.28,150.495,150.842,150.373,0.31
2024.02.27,150.684,150.703,150.073,0.42
2024.02.26,150.460,150.837,150.292,0.36
2024.02.23,150.517,150.767,150.292,0.32
2024.02.22,150.295,150.688,150.015,0.45
2024.02.21,149.994,150.391,149.851,0.36
2024.02.20,150.077,150.437,149.683,0.50
2024.02.19,150.078,150.195,149.871,0.22
2024.02.16,149.904,150.645,149.823,0.55
2024.02.15,150.535,150.566,149.523,0.69
2024.02.14,150.764,150.782,150.343,0.29
2024.02.13,149.332,150.883,149.224,1.11
2024.02.12,149.213,149.478,148.926,0.37
2024.02.09,149.298,149.575,149.005,0.38
2024.02.08,148.171,149.477,147.930,1.04
2024.02.07,147.934,148.257,147.618,0.43
2024.02.06,148.667,148.787,147.815,0.65
2024.02.05,148.381,148.892,148.266,0.42
2024.02.02,146.407,148.583,146.240,1.60
2024.02.01,146.858,147.114,145.896,0.83
2024.01.31,147.592,147.898,146.007,1.28
2024.01.30,147.487,147.926,147.096,0.56
2024.01.29,148.087,148.333,147.250,0.73
2024.01.26,147.648,148.209,147.393,0.55
2024.01.25,147.493,147.936,147.081,0.58
2024.01.24,148.303,148.391,146.648,1.18
2024.01.23,148.082,148.694,146.975,1.16
2024.01.22,148.207,148.302,147.615,0.46
2024.01.19,148.144,148.802,147.838,0.65
2024.01.18,148.142,148.299,147.654,0.44
2024.01.17,147.173,148.524,147.048,1.00
2024.01.16,145.715,147.310,145.583,1.19
2024.01.15,144.780,145.941,144.780,0.80
2024.01.12,145.266,145.566,144.354,0.83
2024.01.11,145.742,146.414,144.968,0.99
2024.01.10,144.453,145.828,144.314,1.05
2024.01.09,144.223,144.623,143.419,0.83
2024.01.08,144.453,144.917,143.661,0.87
2024.01.05,144.621,145.976,143.806,1.50
2024.01.04,143.277,144.850,142.853,1.39
2024.01.03,141.971,143.731,141.856,1.32
2024.01.02,140.843,142.216,140.811,1.00
2023.12.29,141.316,141.912,140.797,0.79
2023.12.28,141.812,141.816,140.248,1.11
2023.12.27,142.387,142.848,141.550,0.91
2023.12.26,142.204,142.633,142.090,0.38
2023.12.25,142.260,142.479,142.101,0.27
2023.12.22,142.102,142.662,141.864,0.56
2023.12.21,143.555,143.567,142.042,1.06
2023.12.20,143.820,144.095,143.260,0.58
2023.12.19,142.737,144.954,142.244,1.90
2023.12.18,142.038,143.156,142.024,0.80
2023.12.15,141.843,142.464,141.428,0.73
2023.12.14,142.870,142.908,140.956,1.37
2023.12.13,145.440,145.993,142.634,2.31
2023.12.12,146.144,146.181,144.731,0.99
2023.12.11,144.889,146.588,144.808,1.23
2023.12.08,144.086,145.214,142.497,1.89
2023.12.07,147.298,147.300,141.615,3.86
2023.12.06,147.136,147.497,146.893,0.41
2023.12.05,147.197,147.388,146.558,0.56
2023.12.04,146.667,147.451,146.223,0.84
2023.12.01,148.168,148.345,146.659,1.14
2023.11.30,147.226,148.520,146.840,1.14
2023.11.29,147.464,147.853,146.670,0.80
2023.11.28,148.666,148.829,147.322,1.01
2023.11.27,149.391,149.674,148.547,0.75
2023.11.24,149.491,149.711,149.196,0.34
2023.11.23,149.524,149.691,148.887,0.54
2023.11.22,148.364,149.747,148.017,1.17
2023.11.21,148.356,148.594,147.149,0.97
2023.11.20,149.575,149.988,148.100,1.26
2023.11.17,150.703,150.774,149.196,1.05
2023.11.16,151.311,151.429,150.285,0.76
2023.11.15,150.358,151.420,150.047,0.91
2023.11.14,151.704,151.782,150.154,1.07
2023.11.13,151.420,151.907,151.202,0.47
2023.11.10,151.333,151.600,151.220,0.25
2023.11.09,150.953,151.386,150.768,0.41
2023.11.08,150.307,151.056,150.298,0.50
2023.11.07,150.057,150.691,149.914,0.52
2023.11.06,149.319,150.080,149.311,0.52
2023.11.03,150.391,150.517,149.181,0.89
2023.11.02,150.932,150.954,149.843,0.74
2023.11.01,151.583,151.674,150.660,0.67
2023.10.31,149.050,151.716,149.014,1.81
2023.10.30,149.470,149.853,148.804,0.70
